num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,b35a_tpu_sketch_generator,b35a12a6,qwen2.5-coder:14b_c83f_tpusg_batch,failure,101.69,14831,10025,4806,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755646853
2,2141_tpu_sketch_generator,21411e67,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.11,2673,1833,840,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647002
3,ece6_tpu_sketch_generator,ece65340,qwen2.5-coder:14b_c83f_tpusg_batch,success,45.92,8674,5929,2745,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647070
4,7ccb_tpu_sketch_generator,7ccb6c18,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.17,2676,1833,843,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647189
5,e9e0_tpu_sketch_generator,e9e09edc,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.75,2650,1833,817,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647262
6,9ac8_tpu_sketch_generator,9ac8d28f,qwen2.5-coder:14b_c83f_tpusg_batch,success,26.57,5454,3881,1573,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647330
7,9491_tpu_sketch_generator,94911236,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.2,2614,1833,781,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647422
8,4f77_tpu_sketch_generator,4f776647,qwen2.5-coder:14b_c83f_tpusg_batch,success,46.78,8730,5929,2801,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647494
9,90fb_tpu_sketch_generator,90fb0265,qwen2.5-coder:14b_c83f_tpusg_batch,success,28.69,5591,3881,1710,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647615
10,40ad_tpu_sketch_generator,40ad10c4,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.61,2704,1833,871,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647709
11,c853_tpu_sketch_generator,c853d5ee,qwen2.5-coder:14b_c83f_tpusg_batch,failure,66.05,13914,10025,3889,0.0,N/A,5,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647782
12,1669_tpu_sketch_generator,16692be1,qwen2.5-coder:14b_c83f_tpusg_batch,success,50.82,8717,5929,2788,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755647892
13,166c_tpu_sketch_generator,166c23b4,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.92,2660,1833,827,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648010
14,e3fd_tpu_sketch_generator,e3fd0934,qwen2.5-coder:14b_c83f_tpusg_batch,success,50.97,9001,5929,3072,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648083
15,93f4_tpu_sketch_generator,93f4ea89,qwen2.5-coder:14b_c83f_tpusg_batch,success,12.79,2589,1833,756,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648209
16,911f_tpu_sketch_generator,911f4667,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.03,2603,1833,770,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648279
17,69ba_tpu_sketch_generator,69ba7910,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.11,2609,1833,776,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648347
18,8241_tpu_sketch_generator,824121b7,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.4,2690,1833,857,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648415
19,35ab_tpu_sketch_generator,35ab6ae1,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.58,2702,1833,869,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648487
20,6cc6_tpu_sketch_generator,6cc6c247,qwen2.5-coder:14b_c83f_tpusg_batch,success,32.43,5829,3881,1948,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648560
21,52fd_tpu_sketch_generator,52fdd5ee,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.86,2656,1833,823,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648659
22,b647_tpu_sketch_generator,b6472231,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.23,2605,1833,772,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648732
23,5fb5_tpu_sketch_generator,5fb5ad93,qwen2.5-coder:14b_c83f_tpusg_batch,success,31.76,5783,3881,1902,0.0,N/A,2,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648801
24,be37_tpu_sketch_generator,be37d45a,qwen2.5-coder:14b_c83f_tpusg_batch,success,66.0,11906,7977,3929,0.0,N/A,4,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755648899
25,3c95_tpu_sketch_generator,3c95f6ac,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.52,2698,1833,865,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755649198
26,6f99_tpu_sketch_generator,6f994dde,qwen2.5-coder:14b_c83f_tpusg_batch,success,46.76,8722,5929,2793,0.0,N/A,3,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755649271
27,6311_tpu_sketch_generator,631111fb,qwen2.5-coder:14b_c83f_tpusg_batch,success,13.69,2646,1833,813,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755649388
28,a9bf_tpu_sketch_generator,a9bf6d80,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.46,2694,1833,861,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755649456
29,2d20_tpu_sketch_generator,2d20cc91,qwen2.5-coder:14b_c83f_tpusg_batch,success,12.57,2574,1833,741,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755649528
30,16be_tpu_sketch_generator,16bea05d,qwen2.5-coder:14b_c83f_tpusg_batch,success,14.11,2672,1833,839,0.0,N/A,1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1755649596
