num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,9c6f_model_converter,9c6fd497,deepseek-r1:14b_60e0_mc_batch,62.21,failure,10432,6716,3716,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
2,7c94_model_converter,7c94c979,deepseek-r1:14b_60e0_mc_batch,54.59,failure,8891,5533,3358,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
3,ec14_model_converter,ec14bfa0,deepseek-r1:14b_60e0_mc_batch,55.94,failure,9306,5876,3430,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
4,b362_model_converter,b3623837,deepseek-r1:14b_60e0_mc_batch,55.91,failure,9001,5520,3481,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
5,060a_model_converter,060a4c03,deepseek-r1:14b_60e0_mc_batch,42.31,success,6804,4164,2640,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
6,db8f_model_converter,db8f477a,deepseek-r1:14b_60e0_mc_batch,55.86,failure,9615,6211,3404,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
7,9569_model_converter,9569f691,deepseek-r1:14b_60e0_mc_batch,52.76,failure,8156,4914,3242,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
8,b47f_model_converter,b47f6efd,deepseek-r1:14b_60e0_mc_batch,30.88,success,4348,2384,1964,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
9,ca9a_model_converter,ca9af4f4,deepseek-r1:14b_60e0_mc_batch,81.78,failure,10576,5458,5118,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
10,6f0b_model_converter,6f0b298d,deepseek-r1:14b_60e0_mc_batch,64.94,success,6022,1943,4079,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
11,34ac_model_converter,34acf907,deepseek-r1:14b_60e0_mc_batch,13.24,success,1248,381,867,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
12,ea14_model_converter,ea14ba61,deepseek-r1:14b_60e0_mc_batch,45.99,success,6837,4000,2837,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
13,7bc8_model_converter,7bc88f95,deepseek-r1:14b_60e0_mc_batch,69.95,failure,10703,6409,4294,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
14,d383_model_converter,d38356a7,deepseek-r1:14b_60e0_mc_batch,48.52,success,8229,5206,3023,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
15,2349_model_converter,23492fc3,deepseek-r1:14b_60e0_mc_batch,70.25,failure,10127,5787,4340,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
16,a167_model_converter,a1676d60,deepseek-r1:14b_60e0_mc_batch,70.98,failure,9886,5426,4460,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
17,bf03_model_converter,bf03b2d7,deepseek-r1:14b_60e0_mc_batch,51.53,failure,8067,4823,3244,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
18,9608_model_converter,9608bc66,deepseek-r1:14b_60e0_mc_batch,64.11,failure,10130,6205,3925,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
19,5949_model_converter,59499196,deepseek-r1:14b_60e0_mc_batch,58.52,failure,9929,6371,3558,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
20,bb9a_model_converter,bb9aaafc,deepseek-r1:14b_60e0_mc_batch,40.39,success,6118,3639,2479,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
21,f3f7_model_converter,f3f75ba0,deepseek-r1:14b_60e0_mc_batch,64.15,failure,9441,5487,3954,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
22,625d_model_converter,625d174d,deepseek-r1:14b_60e0_mc_batch,63.11,failure,9363,5449,3914,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
23,5311_model_converter,531179d3,deepseek-r1:14b_60e0_mc_batch,84.15,failure,11289,6076,5213,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
24,272a_model_converter,272af8dc,deepseek-r1:14b_60e0_mc_batch,59.36,failure,9119,5423,3696,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
25,65ed_model_converter,65edf6da,deepseek-r1:14b_60e0_mc_batch,54.63,success,8884,5467,3417,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
26,3377_model_converter,33774eac,deepseek-r1:14b_60e0_mc_batch,81.24,failure,9874,4749,5125,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
27,9f5c_model_converter,9f5c24c6,deepseek-r1:14b_60e0_mc_batch,68.59,success,10399,6173,4226,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
28,67be_model_converter,67be373c,deepseek-r1:14b_60e0_mc_batch,62.2,failure,9440,5588,3852,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
29,b730_model_converter,b7301525,deepseek-r1:14b_60e0_mc_batch,51.7,success,5463,2213,3250,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
30,6add_model_converter,6addc688,deepseek-r1:14b_60e0_mc_batch,61.84,failure,10000,6161,3839,0,0,0,"['benchmark', 'deepseek-r1:14b', 'model_converter']"
